attraction_dist,filled_frac_SNR,filled_frac_freq,filled_frac_mean,filled_frac_std,gzip_compression_ratio,max_height,mean_height,precip_amplitude,precip_frac_total,roughness_cv,roughness_local,sed_frac_total,sim_id,stability_dist
41,14.206695108914118,0.004285714285714286,0.9984344909807581,0.0014410075403435837,10.207950535188264,0.636,0.6220723809523809,0.22899933288859237,0.40906,0.015333117312545285,1.45657210222641,0.21204285714285714,sim_20260317_134344_5421fdce,48
24,17.73862138518946,0.017142857142857144,0.7135632288192129,0.04277442235280753,10.957245870161854,1.0,0.9999980952380951,0.2015276851234156,0.591447619047619,3.560940109364191e-5,0.07564694744722338,0.12211428571428572,sim_20260317_134344_8ae65a01,1
43,20.415539112475606,0.004285714285714286,0.9975172492781448,0.002952052113532444,8.97942429062548,0.7673333333333333,0.743692380952381,0.28336224149432954,0.5300504761904762,0.017273577107353878,1.4237913077856228,0.2118057142857143,sim_20260317_134345_ce82ffc9,40
19,13.064732917211563,0.004285714285714286,0.9985582157398047,0.0008910594747773754,9.994098722659002,0.6666666666666666,0.6417476190476191,0.24408939292861906,0.4297095238095238,0.015997298367918657,1.3963983920220526,0.21111333333333332,sim_20260317_134346_2d00d591,32
4,13.710474102969744,0.017142857142857144,0.9903621183189361,0.009429639604442385,17.355371900826448,0.3546666666666667,0.3418980952380953,0.08583722481654435,0.1275447619047619,0.018039044681443076,1.4924703719534262,0.21106571428571427,sim_20260317_134349_4c01928e,11
24,23.604048225777795,0.012857142857142857,0.4668820767063926,0.18289262597132444,24.558531165945503,0.5686666666666667,0.49043047619047614,0.015223482321547698,0.016409523809523808,0.13055281105381691,30.33459099092243,0.21069904761904762,sim_20260317_134351_63ec477a,11
14,18.229878107655846,0.008571428571428572,0.9598526812106978,0.015826720164538535,8.233550542238115,0.84,0.8213895238095238,0.2814276184122748,0.5771142857142857,0.00770520979810948,1.5129389489444676,0.21132761904761904,sim_20260317_134354_43f4b455,8
18,8.540962973314256,0.002857142857142857,0.9986586646726805,0.0006372085588617417,10.676156583629894,0.6086666666666667,0.5916228571428571,0.2202935290193462,0.3795104761904762,0.014735211031350158,1.278746704022032,0.21131904761904763,sim_20260317_134359_1de4171c,34
14,19.03275042156959,0.007142857142857143,0.9721944944611111,0.06023711250259648,37.9636994721238,0.262,0.23841238095238096,0.0171581054036024,0.021365714285714286,0.09001173631483812,6.135685622191165,0.21110666666666666,sim_20260317_134400_19079285,37
39,18.359606368955486,0.005714285714285714,0.7614258604219354,0.26347524303040076,20.91300191204589,0.44733333333333336,0.34838857142857144,0.04153435623749166,0.05123428571428571,0.3790474152063314,40.33857070005124,0.21183238095238094,sim_20260317_134403_7687c95d,25
29,18.90604559618367,0.005714285714285714,0.9918399112235815,0.015599187334046203,14.67546262648851,0.43066666666666664,0.4040142857142857,0.11234156104069379,0.18935809523809524,0.04549084433738513,2.329754050150295,0.2114542857142857,sim_20260317_134407_58b82319,44
31,20.869770141856748,0.017142857142857144,0.5954573150354204,0.060367809887092845,10.467028859093855,1.0,0.9999980952380951,0.12936624416277517,0.45089142857142855,3.56094010936419e-5,0.07564694744722338,0.14456476190476192,sim_20260317_134408_5d46078d,2
25,21.648137255602997,0.011428571428571429,0.6706044122696221,0.2848217204691397,24.506371656630723,0.43866666666666665,0.3535409523809524,0.024509673115410274,0.028557142857142857,0.3138463526970155,51.40129366062389,0.21141904761904762,sim_20260317_134415_4e68cbe3,18
17,9.097079098334241,0.08,0.9988850329462245,0.0004452470158039811,9.56179652496995,0.698,0.6841838095238095,0.27098065376917946,0.4719209523809524,0.01070154935422249,1.3388654903105435,0.2115,sim_20260317_134417_3df47e67,41
25,20.73364265174441,0.01,0.398484793061432,0.16687360051813777,17.988384643059053,0.6913333333333334,0.6075333333333333,0.02799199466310874,0.03291714285714286,0.1261126607617127,41.45235298453177,0.21078190476190475,sim_20260317_134417_ca98677f,9
20,19.54344206038427,0.007142857142857143,0.9872455431693097,0.022986031179660478,15.128811019537778,0.4166666666666667,0.3889247619047619,0.1024749833222148,0.17295428571428573,0.04205460592846842,3.0520051337103884,0.21112952380952382,sim_20260317_134421_2e515e23,34
23,21.619127511842862,0.005714285714285714,0.9720369339787934,0.05023460777283971,16.48248147683034,0.39,0.3596447619047619,0.08409606404269511,0.13877142857142857,0.04855574692306228,2.9111791828434206,0.21113904761904762,sim_20260317_134421_d91c8e3f,38
6,18.644569966496086,0.041428571428571426,0.6080689890720964,0.09189593553666406,19.604914298517496,0.39866666666666667,0.37901904761904764,0.013288859239492995,0.019506666666666665,0.030707914529466012,7.176499559168577,0.21105904761904762,sim_20260317_134422_8d23f74f,5
34,14.77448214188652,0.01,0.9976436832042783,0.003180703859983711,9.145783793671118,0.744,0.7250952380952381,0.2758172114743162,0.5116314285714286,0.019227270848855973,1.463919914630604,0.21176285714285714,sim_20260317_134422_55d3f6dd,39
23,20.664667606410685,0.012857142857142857,0.9246978812428646,0.035594112371031994,8.765119831709699,0.846,0.8205238095238094,0.24273515677118077,0.5475104761904762,0.01725690425958321,2.1957169909701264,0.21135809523809523,sim_20260317_134423_3143cc3d,10
24,9.503157675587602,0.018571428571428572,0.9988718524992536,0.000562458136233171,9.544760381063195,0.698,0.6857685714285714,0.26788525683789194,0.4732695238095238,0.008526231468510226,1.3510976833406492,0.2117257142857143,sim_20260317_134428_46a5acb4,46
9,18.957734480338758,0.025714285714285714,0.8227763499850952,0.029104609225803157,7.838745800671893,0.872,0.8501828571428571,0.1521947965310207,0.48848285714285716,0.01269877851278335,3.6336135393519693,0.21108,sim_20260317_134429_2f4236a5,2
25,17.572967535275772,0.002857142857142857,0.8532358924997618,0.03408232770572416,9.319912659104224,1.0,0.9999980952380951,0.2566644429619746,0.6710942857142858,3.56094010936419e-5,0.07564694744722338,0.18214,sim_20260317_134436_7ed1f767,5
20,22.515189276531583,0.014285714285714285,0.8803801799642026,0.04036462769448991,8.06767627872669,1.0,0.9821371428571428,0.24292861907938626,0.6525876190476191,0.014953851593563739,3.295203954038725,0.21207238095238096,sim_20260317_134439_1547d23a,6
42,22.022783857612733,0.008571428571428572,0.9705405677579647,0.04773153034257277,11.877290620333921,0.5493333333333333,0.5237904761904763,0.15529019346230818,0.29674285714285714,0.03391283255538198,3.7885831052831116,0.21186666666666668,sim_20260317_134444_7e617a1e,36
43,19.63171676322796,0.007142857142857143,0.9678250017644376,0.056266101146402216,12.664487570710056,0.5186666666666667,0.48897333333333337,0.14194129419613075,0.2621095238095238,0.03558312185575075,3.4772919593455662,0.21170952380952382,sim_20260317_134445_12eb0514,38
14,14.193826792860024,0.007142857142857143,0.997484014975772,0.0020120133634243696,15.51395517205715,0.4053333333333333,0.38848,0.11408272181454301,0.17620952380952382,0.02378974603977992,1.6499880781638925,0.21129809523809523,sim_20260317_134446_abbf51f8,37
29,23.223998594476548,0.01,0.6180009169289087,0.26126059745670577,20.12265235722499,0.502,0.4143485714285714,0.036117411607738494,0.04341428571428572,0.23776941668251297,45.436745636953944,0.2112647619047619,sim_20260317_134452_ebfd0963,17
34,23.309148789786814,0.005714285714285714,0.7944507362622187,0.25864326470299825,16.800806438709056,0.44133333333333336,0.3901152380952381,0.06571714476317544,0.10156857142857142,0.19338235834440226,38.354774124484166,0.2116542857142857,sim_20260317_134452_6fd0499f,29
19,21.749709474245172,0.007142857142857143,0.9941450630161304,0.009041539158382572,13.299725139013793,0.47733333333333333,0.45087238095238097,0.137104736490994,0.23716857142857142,0.027257162567834108,2.0099893593267057,0.2110895238095238,sim_20260317_134454_9f05f881,31
13,19.889340627738832,0.027142857142857142,0.3727935647171351,0.049277869781765224,7.995674720722504,1.0,0.9852238095238095,0.051787858572381586,0.1550857142857143,0.015121038898133458,10.6589743364725,0.21219428571428572,sim_20260317_134454_26eb6052,2
40,21.912528138054345,0.01,0.8736028837754278,0.065508736764344,10.187251382555544,0.756,0.7420847619047619,0.1924349566377585,0.4361885714285714,0.011708661995291893,2.2919901579457473,0.21215714285714285,sim_20260317_134457_852903c3,12
4,12.627827436188719,0.022857142857142857,0.9967447896622273,0.0023868110802366437,13.749754468670202,0.44866666666666666,0.43660666666666664,0.1434889926617745,0.22401809523809524,0.011383388472253071,1.4986880290098963,0.21116857142857143,sim_20260317_134500_12dad527,13
35,14.790658655581161,0.005714285714285714,0.9982467081173283,0.0017530170110514743,9.492555124623689,0.716,0.685242857142857,0.2589859906604403,0.4726790476190476,0.023684903929313394,1.5786486678786815,0.21136761904761905,sim_20260317_134500_5fd1e369,41
37,16.45603999644952,0.005714285714285714,0.9976787449142475,0.0027438918827970863,9.733217152709543,0.6773333333333333,0.6605580952380953,0.24234823215476983,0.44710285714285714,0.014977221604098161,1.5195436405501754,0.21193142857142858,sim_20260317_134501_187b0b3a,42
49,17.491680594427528,0.017142857142857144,0.9329622229645773,0.035706183126673424,12.50312578144536,0.49,0.48105238095238095,0.13304202801867912,0.23659238095238094,0.009296520051360785,2.7675826258386693,0.2122190476190476,sim_20260317_134504_e0559ddb,1
