attraction_dist,filled_frac_SNR,filled_frac_freq,filled_frac_mean,filled_frac_std,gzip_compression_ratio,max_height,mean_height,precip_frac_total,roughness_cv,roughness_local,sed_frac_total,sim_id,stability_dist
14,22.19251921011244,0.012857142857142857,0.7809380122688903,0.10901915520131833,12.400207851103028,0.508,0.4839990476190476,0.16647238095238096,0.03722509834169642,5.809690488876143,0.21125428571428573,sim_20260317_144254_4596caac,10
12,10.160673646335427,0.022857142857142857,0.9974886445604575,0.0013188728666092267,19.171429093100112,0.338,0.32249714285714287,0.11047333333333334,0.021070778822392843,1.5143566649659361,0.21121428571428572,sim_20260317_144258_ded4e1b8,45
41,20.328426728792095,0.005714285714285714,0.972748475151704,0.06260073394857567,17.228366094575527,0.378,0.34802761904761903,0.12737333333333334,0.06014777427903165,4.335368730739467,0.21173142857142857,sim_20260317_144303_de40a783,49
32,21.769939702381933,0.005714285714285714,0.9155574998276458,0.14207808730779042,16.217468530388448,0.408,0.3713371428571428,0.13160761904761906,0.0987921851102541,9.127220367954717,0.21152,sim_20260317_144304_7da8cb01,39
29,24.41317265276997,0.005714285714285714,0.9051126936449858,0.14670476294759738,15.945088153558792,0.41,0.37920095238095236,0.13489142857142858,0.07587967656663482,10.41671101564236,0.21147047619047618,sim_20260317_144306_d26f8517,35
46,22.64281745529164,0.014285714285714285,0.7859607998409506,0.19954942439439044,14.869783184399473,0.456,0.4421638095238095,0.13694285714285714,0.03131954170419052,7.413400849827891,0.2122190476190476,sim_20260317_144307_7ad6cc08,9
34,22.067061668735843,0.005714285714285714,0.9478193549995555,0.10457541413473714,16.719745222929937,0.386,0.35928380952380956,0.13054285714285715,0.05604356817284892,3.993736154184672,0.21170857142857144,sim_20260317_144309_663fc2c0,49
13,10.323695808438877,0.007142857142857143,0.9973077300859268,0.0017359917365504139,19.181235271551486,0.3406666666666667,0.3216,0.10964571428571429,0.022920032488911703,1.64260165599762,0.21108857142857143,sim_20260317_144314_fceda020,48
4,7.424894542692993,0.13857142857142857,0.9974604192264263,0.0013568388132660964,19.388075410380928,0.3293333333333333,0.3189657142857143,0.10699619047619048,0.014061278723786881,1.4357981933664605,0.21116,sim_20260317_144316_3f310442,24
14,7.465760288115,0.022857142857142857,0.9974389414300513,0.0014522402545069828,19.16163293610964,0.33266666666666667,0.32287047619047615,0.1105552380952381,0.017346726209987163,1.564996217778022,0.21148857142857144,sim_20260317_144319_f2ad88f1,49
11,15.293382499408526,0.005714285714285714,0.9955247332451201,0.006253645792403756,18.724254150543004,0.352,0.32937238095238097,0.11696857142857142,0.03575143518361,2.014965467919952,0.21095142857142857,sim_20260317_144321_c669b9f5,30
8,19.284650936736657,0.02,0.8973220171637625,0.05941549341169918,13.67561442581956,0.4226666666666667,0.4067380952380953,0.15380476190476192,0.01750724576354613,2.273816880177023,0.21117714285714287,sim_20260317_144321_4c00377e,9
23,19.688703923426477,0.007142857142857143,0.9879495309982792,0.023075649698817348,17.77281267455441,0.36933333333333335,0.3397904761904762,0.12470571428571428,0.057929501490339,2.7016658878153006,0.21114666666666668,sim_20260317_144323_ca5b9da5,42
44,29.38208944750499,0.008571428571428572,0.6809468055832204,0.29515153017261286,14.898054739709702,0.5346666666666666,0.4799209523809524,0.12737809523809523,0.17279061581187607,42.15831257328953,0.21209238095238095,sim_20260317_144324_9d694c0a,21
31,29.202069666374047,0.01,0.5191073783752895,0.17031603786545643,11.886433617098351,0.766,0.7042466666666666,0.15583714285714287,0.05974328618642942,15.763587821350525,0.2112495238095238,sim_20260317_144328_737d4733,10
36,21.251138142721544,0.005714285714285714,0.9392674457420677,0.11342705805451134,16.630765331981753,0.39,0.3633314285714286,0.13148380952380953,0.07695028938509925,11.114567893371575,0.2118142857142857,sim_20260317_144331_a87a4d5f,48
31,21.105846766763072,0.005714285714285714,0.890375047090118,0.14598088991696298,15.722328701485386,0.424,0.38739333333333337,0.13465904761904762,0.07783479375427227,9.251531984647032,0.21144380952380953,sim_20260317_144333_30a7bb0a,33
27,22.350247389331944,0.008571428571428572,0.41104095238095234,0.12007038247139273,9.846488554629257,1.0,1.0,0.20623333333333332,0.0,0.0,0.20480761904761904,sim_20260317_144338_61250e80,5
9,12.633208226253727,0.004285714285714286,0.9968464593738585,0.003462034506141825,19.095769832320954,0.338,0.3250104761904762,0.11271238095238095,0.024595366009864342,1.981675711767554,0.21128190476190475,sim_20260317_144339_4e66858f,32
24,16.796244929390053,0.007142857142857143,0.9926974252265188,0.015183195829753728,18.14725198755617,0.36,0.3365152380952381,0.12280190476190476,0.035583699508262984,2.20546855778325,0.2113590476190476,sim_20260317_144342_6ca872a7,46
5,8.785133066332996,0.08142857142857143,0.9975826448320907,0.0010680030762682483,19.400971896306423,0.3273333333333333,0.3186466666666667,0.10663523809523809,0.012849491589919012,1.4343028294543763,0.2112409523809524,sim_20260317_144342_3e59e7c7,34
2,9.69548386462251,0.015714285714285715,0.9973793234971027,0.001444032868972261,19.704988177007095,0.32266666666666666,0.31350190476190476,0.1015552380952381,0.010649978373331382,1.566823417720579,0.2111247619047619,sim_20260317_144347_c14271a7,47
9,7.729956911404829,0.005714285714285714,0.9973614199815706,0.0016020859430135844,19.30288991837635,0.3313333333333333,0.32010285714285713,0.10801333333333334,0.01672957624393739,1.45657210222641,0.2112457142857143,sim_20260317_144353_be7576d0,38
